,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Gene,Product,Note
BSU02990_opuAB,6050,3727,5739,4343,4719,3444,4520,3587,2549,2600,322271,323119,+,chr,BSU02990,opuAB,glycine betaine ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16225868, 16645306, 16850406, 8752321; Product type t : transporter"
BSU03000_opuAC,6626,5853,6208,6313,4975,4965,4986,6505,4620,4485,323119,324000,+,chr,BSU03000,opuAC,glycine betaine ABC transporter glycine betaine-binding lipoprotein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16225868, 16645306, 7622480; Product type lp: lipoprotein"
BSU03010_amhX,157,103,13134,9153,768,668,4527,3964,263,239,324038,325189,-,chr,BSU03010,amhX,amidohydrolase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 8768514; Product type e : enzyme
BSU03020_ycgA,370,243,4671,3291,485,366,1561,1429,307,306,325339,326772,+,chr,BSU03020,ycgA,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
BSU03030_ycgB,171,200,392,425,169,256,214,351,155,220,326888,327469,+,chr,BSU03030,ycgB,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
BSU03040_amyE,496,743,905,1062,504,670,509,881,665,649,327618,329597,+,chr,BSU03040,amyE,alpha-amylase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 3117969, 9353930; Product type e: enzyme"
BSU03050_ldh,943,275,254,166,699,443,384,283,372,652,329774,330739,+,chr,BSU03050,ldh,L-lactate dehydrogenase,Converts (S)-lactate and NAD(+) to pyruvate and NADH
BSU03060_lctP,2147,339,603,170,1878,584,1117,332,415,774,330771,332396,+,chr,BSU03060,lctP,L-lactate permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10809684, 15849754, 16428414, 16850406; Product type t: transporter"
BSU03070_mdr,2723,1858,2116,1462,2377,1911,2359,1967,1792,1871,332441,333979,-,chr,BSU03070,mdr,multidrug-efflux transporter,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15489457, 15849754, 16850406, 9023234; Product type t: transporter"
BSU03080_ycgE,315,337,277,276,252,358,227,439,343,315,334092,334556,+,chr,BSU03080,ycgE,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU03090_ycgF,390,245,339,267,321,358,357,324,289,283,334630,335259,+,chr,BSU03090,ycgF,aminoacid export permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03100_ycgG,426,406,357,407,385,450,341,459,424,401,335329,336090,+,chr,BSU03100,ycgG,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03110_ycgH,74,35,51,39,65,70,59,52,61,57,336092,337432,-,chr,BSU03110,ycgH,amino acid transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03120_ycgI,15,24,10,4,14,7,5,7,16,13,337562,338158,+,chr,BSU03120,ycgI,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16433904; Product type pe :  enzyme"
BSU03130_nadE,3528,4116,2870,3608,2528,4197,2673,4048,3900,4291,338288,339106,+,chr,BSU03130,nadE,NAD synthetase,catalyzes the formation of nicotinamide adenine dinucleotide (NAD) from nicotinic acid adenine dinucleotide (NAAD) using either ammonia or glutamine as the amide donor and ATP; ammonia-utilizing enzymes include the ones from Bacillus and Escherichia coli while glutamine-utilizing enzymes include the Mycobacterial one; forms homodimers
BSU03140_tmrB,176,186,153,174,140,155,138,197,174,162,339156,339749,-,chr,BSU03140,tmrB,ATP-binding tunicamycin resistance protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15131133, 1624425, 7766032; Product type f: factor"
BSU03150_aroK,772,1720,611,1350,627,1725,656,1834,1590,1747,340025,340585,+,chr,BSU03150,aroK,shikimate kinase,catalyzes the formation of shikimate 3-phosphate from shikimate in aromatic amino acid biosynthesis
BSU03160_ycgJ,126,81,96,49,93,70,104,90,86,80,340613,341374,-,chr,BSU03160,ycgJ,methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU03170_ycgK,355,373,319,350,309,386,315,545,377,428,341492,342466,+,chr,BSU03170,ycgK,LysR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10939241; Product type pr : regulator"
BSU03180_cah,599,424,688,542,575,557,690,734,497,580,342538,343494,+,chr,BSU03180,cah,S-deacylase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12842474; Product type e: enzyme
BSU03190_ycgL,355,422,393,567,384,532,369,771,515,588,343578,344360,+,chr,BSU03190,ycgL,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03200_ycgM,3155,3420,31503,42195,13264,16893,23341,37445,9243,11016,344551,345462,+,chr,BSU03200,ycgM,proline oxidase,"Evidence 1b: Function experimentally demonstrated in the studied species; PubMedId: 17536821, 2118500; Product type e: enzyme"
BSU03210_ycgN,7023,8492,64814,85248,26876,34986,49371,75558,20817,22749,345479,347026,+,chr,BSU03210,ycgN,1-pyrroline-5-carboxylate dehydrogenase,catalyzes the conversion of 1-proline-5-carboxylate dehydrogenase to L-glutamate
BSU03220_ycgO,7577,6005,43407,33962,18786,14802,33207,31513,8951,9978,347150,348571,+,chr,BSU03220,ycgO,proline/ornithine permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 14976255, 15849754, 16850406; Product type pt:  transporter"
BSU03230_ycgP,666,1162,1532,2644,958,1743,1253,3064,1234,1720,348724,349959,+,chr,BSU03230,ycgP,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU03240_ycgQ,661,805,495,471,501,641,488,556,626,817,349996,350853,-,chr,BSU03240,ycgQ,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03250_ycgR,683,486,414,317,506,387,477,401,374,526,350858,351742,-,chr,BSU03250,ycgR,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03260_ycgS,191,190,219,200,160,220,212,221,186,219,351842,352696,-,chr,BSU03260,ycgS,aromatic hydrocarbon hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU03270_ycgT,231,132,82,58,78,72,99,105,88,135,352858,353868,+,chr,BSU03270,ycgT,thioredoxin reductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16672620; Product type pe :  enzyme"
BSU03280_nasF,1639,1350,1519,1143,1467,1369,1457,1426,1275,1421,353900,355351,-,chr,BSU03280,nasF,uroporphyrin-III C-methyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10217486, 15028686, 9765565; Product type e: enzyme"
BSU03290_nasE,524,494,479,435,484,446,517,455,465,569,355412,355732,-,chr,BSU03290,nasE,assimilatory nitrite reductase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10217486, 15028686, 9765565; Product type e: enzyme"
BSU03300_nasD,179,115,197,116,291,162,214,170,143,192,355764,358181,-,chr,BSU03300,nasD,assimilatory nitrite reductase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10972836, 15028686, 9765565; Product type e: enzyme"
BSU03310_nasC,84,56,59,35,110,60,89,51,62,76,358303,360435,-,chr,BSU03310,nasC,assimilatory nitrate reductase catalytic subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10972836, 15028686, 9765565; Product type e: enzyme"
BSU03320_nasB,172,93,117,58,153,87,153,88,90,121,360442,362757,-,chr,BSU03320,nasB,assimilatory nitrate reductase electron transfer subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10940050, 10972836, 15028686, 7836289, 9765565; Product type e: enzyme"
BSU03330_nasA,260,144,168,66,173,89,239,90,110,126,362937,364142,+,chr,BSU03330,nasA,nitrate transporter,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 7868621; Product type t: transporter"
BSU03340_yciA,111,82,1842,53,25,92,3659,869,70,3779,364259,365173,+,chr,BSU03340,yciA,GTP cyclohydrolase,"similar protein in Methanocaldococcus converts GTP to 7,8-dihydro-D-neopterin 2',3'-cyclic phosphate as the first step in methanopterin biosynthesis"
BSU03350_yciB,42,41,1094,34,11,33,2652,547,36,3914,365170,365754,+,chr,BSU03350,yciB,metal uptake system lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12426338; Product type pt : transporter"
BSU03359_yczL,146,142,2837,105,4,137,8201,1316,148,9463,365850,366035,+,chr,BSU03359,yczL,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU03360_yciC,1988,915,17772,674,60,1004,60035,5582,1087,41482,366063,367256,+,chr,BSU03360,yciC,metallochaperone with NTPase activity,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12426338, 18344368, 2013568, 9811636; Product type pt:  transporter"
BSU03370_yckA,841,404,616,248,316,314,1174,393,262,923,367305,367985,-,chr,BSU03370,yckA,ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03380_yckB,1194,1026,673,538,469,659,787,632,677,772,367995,368858,-,chr,BSU03380,yckB,ABC transporter binding lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
BSU03390_yckC,298,228,206,223,145,255,208,240,243,238,369236,369691,+,chr,BSU03390,yckC,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
BSU03400_yckD,14,6,17,27,11,19,8,23,8,25,369773,370105,+,chr,BSU03400,yckD,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
BSU03410_bglC,257,230,137,194,155,173,115,181,170,167,370259,371692,+,chr,BSU03410,bglC,aryl-phospho-beta-d-glucosidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14652714, 18069788; Product type e: enzyme"
BSU03420_nin,232,333,191,269,184,348,114,318,332,340,371729,372127,-,chr,BSU03420,nin,inhibitor of the DNA degrading activity of NucA (competence),"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11359569, 11814663; Product type r: regulator"
BSU03430_nucA,389,515,351,524,327,617,201,496,470,512,372154,372597,-,chr,BSU03430,nucA,endonuclease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11359569, 11814663, 2841296, 7746143; Product type e: enzyme"
BSU03440_tlpC,371,247,245,233,311,265,190,248,243,230,372771,374492,-,chr,BSU03440,tlpC,methyl-accepting chemotaxis protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15187186, 7704255, 7921238; Product type rc : receptor"
BSU03450_hxlB,111,138,102,179,92,118,83,238,146,70,374603,375160,-,chr,BSU03450,hxlB,6-phospho 3-hexuloisomerase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10572115, 15978081; Product type e: enzyme"
BSU03460_hxlA,149,235,147,341,136,288,124,466,229,153,375166,375798,-,chr,BSU03460,hxlA,3-hexulose-6-phosphate synthase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10572115, 15978081; Product type e: enzyme"
BSU03470_hxlR,83,113,76,132,71,104,57,155,140,152,376032,376394,+,chr,BSU03470,hxlR,positive regulator of hxlAB expression,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15978081; Product type r: regulator
BSU03480_srfAA,14336,6726,9345,8312,12140,8009,9427,7328,5527,10435,376968,387731,+,chr,BSU03480,srfAA,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 8288534, 8441623; Product type e: enzyme"
BSU03490_srfAB,17638,7953,10432,8906,15258,8921,11848,7758,6463,13538,387744,398495,+,chr,BSU03490,srfAB,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 16553878, 17227471; Product type e: enzyme"
BSU03500_comS,200,82,130,100,173,70,133,90,52,140,390880,391020,+,chr,BSU03500,comS,regulator of genetic competence,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10361283, 16554821, 8752331, 9696775; Product type r: regulator"
BSU03510_srfAC,7894,3937,4517,3895,6607,4298,5404,3816,3051,6086,398532,402359,+,chr,BSU03510,srfAC,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16166527, 16553878, 17227471; Product type e: enzyme"
BSU03520_srfAD,1487,677,866,706,1222,779,974,637,570,1199,402388,403116,+,chr,BSU03520,srfAD,surfactin synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16166527, 16553878, 17227471; Product type e: enzyme"
BSU03530_ycxA,768,375,2297,1024,1687,813,1876,1117,619,668,403217,404443,+,chr,BSU03530,ycxA,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03540_ycxB,180,268,116,228,133,256,138,308,290,283,404458,405015,-,chr,BSU03540,ycxB,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU03550_ycxC,152,109,151,97,176,106,130,118,83,80,405069,406007,-,chr,BSU03550,ycxC,permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03560_ycxD,407,352,348,299,373,347,312,382,326,305,406131,407465,+,chr,BSU03560,ycxD,PLP-dependent transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15223311; Product type pr : regulator"
BSU03569_sfp,128,72,111,65,105,59,90,63,51,67,407460,407627,-,chr,BSU03569,sfp,,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10568751, 17376553, 2848009, 9384377; Product type e: enzyme"
BSU03570_sfp,575,570,480,452,460,551,441,530,488,570,407638,408135,-,chr,BSU03570,sfp,,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10568751, 17376553, 2848009, 9384377; Product type e: enzyme"
BSU03580_yczE,1073,545,855,389,895,492,839,500,475,421,408240,408887,-,chr,BSU03580,yczE,integral inner membrane protein regulating antibiotic production,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15849754, 16850406, 17827323; Product type m : membrane component"
BSU03590_tcyC,1289,1972,930,1217,1404,2010,1351,1806,2096,2022,409208,409951,-,chr,BSU03590,tcyC,cystine ABC transporter ATP-binding protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924; Product type t: transporter
BSU03600_tcyB,1381,904,877,533,1436,909,1207,737,854,917,409965,410669,-,chr,BSU03600,tcyB,cystine ABC transporter permease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924, 15849754, 16850406; Product type t: transporter"
BSU03610_tcyA,2645,4600,1757,3070,2689,4906,2480,4387,4682,4820,410656,411462,-,chr,BSU03610,tcyA,cystine ABC transporter substrate-binding lipoprotein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15262924; Product type t: transporter
BSU03620_yclA,136,126,83,98,92,124,102,101,113,124,411578,412450,-,chr,BSU03620,yclA,LysR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU03630_yclB,20,20,14,27,29,28,29,47,39,32,412540,413154,+,chr,BSU03630,yclB,aromatic acid decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10919793; Product type pe :  enzyme"
BSU03640_ubiD,80,58,57,38,73,56,57,56,58,62,413157,414578,+,chr,BSU03640,ubiD,3-polyprenyl-4-hydroxybenzoate decarboxylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11029449, 18388975; Product type pe: enzyme"
BSU03651_bsdD,10,20,7,21,23,27,15,10,28,26,414595,414822,+,chr,BSU03651,bsdD,nonoxidative vanillate/4-hydroxybenzoate decarboxylase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15979273, 18388975; Product type e: enzyme"
BSU03652_yclD,32,14,15,10,23,9,24,15,19,11,414819,415283,+,chr,BSU03652,yclD,FMN-binding enzyme subunit,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15979273; Product type pe :  enzyme"
BSU03660_yclE,240,226,198,183,170,196,185,230,235,209,415350,416195,+,chr,BSU03660,yclE,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU03670_dtpT,1749,1258,324,245,704,545,411,352,597,668,416235,417713,-,chr,BSU03670,dtpT,di-tripeptide-proton ABC symporter,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11717292, 15849754, 16850406, 8458848; Product type t: transporter"
BSU03680_yclG,110,80,58,40,75,74,44,76,57,73,417993,419747,+,chr,BSU03680,yclG,uronase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU03690_yczF,6,20,12,16,5,9,4,15,16,20,419763,419984,-,chr,BSU03690,yczF,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU03700_gerKA,90,92,67,81,77,94,79,80,71,83,420110,421744,+,chr,BSU03700,gerKA,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 16707705, 16740944; Product type cp: cell process"
BSU03710_gerKC,97,119,53,96,68,83,65,115,98,96,421734,422957,+,chr,BSU03710,gerKC,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 16707705, 16740944; Product type cp: cell process"
BSU03720_gerKB,120,138,93,62,94,111,103,98,94,131,422982,424103,+,chr,BSU03720,gerKB,spore germination receptor subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10762253, 15849754, 16707705, 16740944, 16850406; Product type cp: cell process"
BSU03730_yclH,38,29,25,17,26,18,26,24,20,26,424208,424888,-,chr,BSU03730,yclH,ABC transporter ATPase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
BSU03740_yclI,65,64,39,34,64,51,60,49,63,55,424904,426364,-,chr,BSU03740,yclI,transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt:  transporter"
BSU03750_yclJ,437,858,334,678,287,730,305,827,648,754,426577,427260,+,chr,BSU03750,yclJ,two-component response regulator YclK,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 15375128; Product type r: regulator"
BSU03760_yclK,1043,1403,852,1090,808,1146,799,1478,1191,1377,427247,428668,+,chr,BSU03760,yclK,two-component sensor histidine kinase YclJ,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 15375128; Product type rc: receptor"
BSU03770_rapC,1704,1764,1452,2197,1020,1791,1173,2768,2168,2361,428831,429979,+,chr,BSU03770,rapC,response regulator aspartate phosphatase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10464187, 12456319, 12897006, 12950917; Product type e: enzyme"
BSU03780_phrC,45,15,74,15,29,25,30,31,31,18,429963,430085,+,chr,BSU03780,phrC,secreted regulator of the activity of phosphatase RapC,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10464187, 12456319, 12897006, 12950917, 16816200; Product type r: regulator"
BSU03789_yczN,83,39,147,71,82,46,128,68,38,36,430356,430469,-,chr,BSU03789,yczN,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03790_yclM,854,797,7059,7333,2711,3500,4132,5645,2267,2053,430623,431987,-,chr,BSU03790,yclM,aspartate kinase,catalyzes the formation of 4-phospho-L-aspartate from L-aspartate and ATP; lysine and threonine sensitive
BSU03800_yclN,536,344,389,382,291,400,534,404,283,434,432372,433322,+,chr,BSU03800,yclN,iron-siderophore ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229, 15849754, 16850406; Product type pt:  transporter"
BSU03810_yclO,480,243,379,261,297,295,514,403,240,325,433315,434262,+,chr,BSU03810,yclO,iron-siderophore ABC transporter permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229, 15849754, 16850406; Product type pt:  transporter"
BSU03820_yclP,467,406,348,508,244,496,441,577,342,487,434256,435014,+,chr,BSU03820,yclP,iron-siderophore ABC transporter ATP-binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229; Product type pt : transporter"
BSU03830_yclQ,1014,741,695,967,523,817,847,1178,653,940,435036,435989,+,chr,BSU03830,yclQ,iron-siderophore ABC transporter binding lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12354229; Product type pt : transporter"
BSU03840_ycnB,1524,966,1803,896,1771,991,1605,1092,935,992,436036,437454,-,chr,BSU03840,ycnB,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
BSU03850_ycnC,763,1031,823,1078,924,1037,769,1208,916,1101,437474,438352,-,chr,BSU03850,ycnC,TetR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU03860_ycnD,807,709,636,517,719,708,633,738,793,731,438516,439265,-,chr,BSU03860,ycnD,NADPH-FMN oxidoreductase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16229462, 9836433; Product type e: enzyme"
BSU03870_ycnE,356,593,259,475,270,676,297,611,661,633,439282,439569,-,chr,BSU03870,ycnE,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03880_yczG,1428,851,1447,881,1229,985,1375,974,793,809,439709,440023,+,chr,BSU03880,yczG,ArsR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
BSU03890_gabR,173,131,233,191,200,217,186,242,184,171,440025,441464,-,chr,BSU03890,gabR,GntR family transcriptional regulator,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15223311; Product type r: regulator
BSU03900_gabT,60,41,88,96,79,89,88,103,71,77,441571,442881,+,chr,BSU03900,gabT,4-aminobutyrate aminotransferase,catalyzes the formation of succinate semialdehyde and glutamate from 4-aminobutanoate and 2-oxoglutarate
BSU03910_gabD,1389,1676,1513,1495,1437,1758,1591,1746,1622,1786,442950,444338,+,chr,BSU03910,gabD,succinate-semialdehyde dehydrogenase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12354229, 15590624, 9723923; Product type e : enzyme"
BSU03920_glcU,16,5,7,9,11,8,18,15,11,6,444461,445324,+,chr,BSU03920,glcU,glucose permease,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10438764, 15849754, 16850406; Product type t : transporter"
BSU03930_gdh,35,15,17,20,20,21,22,30,15,24,445344,446129,+,chr,BSU03930,gdh,glucose-1-dehydrogenase,"Converts glucose to D-glucono-1,5 lactone"
BSU03940_ycnI,2392,1368,1430,854,1706,1075,1391,1159,1159,1488,446174,446788,-,chr,BSU03940,ycnI,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
BSU03950_ycnJ,4586,4036,2664,2611,3332,2896,2711,3044,2951,4023,446801,448426,-,chr,BSU03950,ycnJ,copper import protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15101989, 15849754, 16850406; Product type pt:  transporter"
BSU03960_ycnK,2161,1695,1223,1118,1660,1354,1217,1335,1264,1605,448461,449033,-,chr,BSU03960,ycnK,DeoR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15101989; Product type pr : regulator"
BSU03970_ycnL,277,165,244,103,248,162,258,134,155,152,449198,449551,+,chr,BSU03970,ycnL,reductase or disulfide isomerase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406, 18307109; Product type pe:  enzyme"
BSU03981_mtlA,221,235,134,158,143,150,121,162,139,159,449724,451160,+,chr,BSU03981,mtlA,phosphotransferase system (PTS) mannitol-specific enzyme IICB component,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12897001; Product type t: transporter
BSU03982_mtlF,69,111,54,81,41,112,39,105,63,81,451185,451616,+,chr,BSU03982,mtlF,phosphotransferase system (PTS) mannitol-specific enzyme IIA component,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12897001; Product type t: transporter
BSU03990_mtlD,199,157,157,112,138,170,102,181,108,134,451618,452739,+,chr,BSU03990,mtlD,mannitol-1-phosphate 5-dehydrogenase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12897001; Product type e: enzyme
BSU04000_ycsA,559,693,401,438,337,480,278,646,502,523,452830,453894,+,chr,BSU04000,ycsA,tartrate dehydrogenase,catalyzes the formation of oxaloglycolate from tartrate; also catalyzes the formation of pyruvate from malate and glycerate from tartrate
BSU04010_sipU,501,983,260,630,325,850,259,780,865,885,454029,454592,+,chr,BSU04010,sipU,type I signal peptidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14568161, 9325333; Product type e: enzyme"
BSU04020_yczH,795,594,530,452,579,460,475,583,563,498,454652,455260,-,chr,BSU04020,yczH,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU04030_ycsD,1270,3542,979,2910,903,2883,860,3230,2841,2523,455346,455738,+,chr,BSU04030,ycsD,(3R)-hydroxymyristoyl-ACP dehydratase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12682299, 16291680; Product type pe: enzyme"
BSU04039_yczO,49,17,35,20,25,17,22,40,37,67,455771,455935,-,chr,BSU04039,yczO,hypothetical protein,Evidence 5: No homology to any previously reported sequences
BSU04040_ycsE,1720,2573,1610,2257,1357,2496,1385,2829,2407,2328,456068,456817,+,chr,BSU04040,ycsE,phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
BSU04050_ycsF,400,400,407,376,499,462,377,526,442,512,457023,457796,+,chr,BSU04050,ycsF,LamB/YcsF family protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 9334321; Product type pe :  enzyme"
